"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20520","22210","23230","24580","26320","26850","26800","28250","28640","27880","30320","31210","29780","31810","34480","28900","35760","33470","38420","33950","32270","32440","33240","34710","35490","35770","35880","36720","38950","40590","34100","41610","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1696.39009298309","1727.02313202727","1641.50774138582","1675.68588748252","1695.70658580112","1798.49141156547","1882.87051652225","1958.48873065138","1951.32606311796","1977.40438552844","2049.16965720096","2114.99856904651","2184.51709210496","2249.41021606671","2377.69196812527","2536.81889687674","2712.82873183054","2878.97479488171","2968.0962395003","2951.10355707341","3033.9466466074","3143.62987535319","3086.92022574191","3201.83512147387","3347.63842112254","3382.60558254226","3497.68995092471","3524.06368978794","3610.15577460834","3663.37576139166","3531.46233129552","3755.01733903454","4066.11072781056",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1570","1770","1750","1960","2070","2110","2150","2040","2120","2130","2200","2100","1690","",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1654.26936684004","1692.92927124143","1717.91000836651","1668.80458220643","1680.46140955939","1717.37788190271","1735.0650710683","1796.61084425388","1824.98929509603","1861.64501412517","1834.54268745638","1952.95324329883","2112.39654716599","2200.32107796398","2363.43430872678","2523.33809528185","2785.75943439264","2897.47552793754","3047.93066789802","3157.51983987496","3310.9503876813","3447.10811261709","3563.75468237851","3705.45275148889","3990.14117557614","3961.13710530013","3898.55472049412","3910.80315534616","3990.21178059517","4116.43507427864","4032.53404102945","4255.20162432475","4625.96461346264",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","3320","1630","1500","1260","2350","2420","2830","2820","2630","2790","2900","3380","3470","3780","4310","4730","5350","5590","5840","5950","6120","6790","7090","7630","6900","6660","6770","6500","6260","5800","5990","6450",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","1880","1740","2110","2300","2710","3050","2780","3110","3550","3980","4440","4780","5130","5560","5980","6760","7490","8270","8670","9530","10210","10450","10750","11360","11800","12270","12800","13480","14220","13830","15320","18210",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6798.60268790251","7397.77361591189","7748.67202688199","7979.22053230684","8074.35106021981","8269.52229030015","8524.35883634202","8823.48194334895","9322.32731015841","9372.30695793281","9947.20917936227","10158.9896108565","10009.0947712586","10399.0296735704","11437.9134916933","12075.2227309622","12969.2898100296","13631.7103016028","14266.501755593","13989.1174809346","14336.5158237838","14859.7341387632","15836.6279516714","15803.2913579464","15596.1021680941","14168.8085587456","13763.7761161236","14355.4564029357","14695.0533610092","14870.1791603895","14147.2264098162","15089.9521851702","16771.2317104896",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98600","96960","92170","96590","104320","106410","105840","94580","81940","68200","65390","70650","74910","75970","78980","70030","69240","71690","73520","75200","71070","76810","87300",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6870","7740","8540","9390","9990","9750","10320","11200","11590","11200","11240","10840","9480","10530","10810","11980","14410","16080","16910","15750","17450","18770","19180","19700","19280","19730","19860","22990","22460","22100","20250","23280","26030",
